elevation,slope,aspect,lst,ndvi,precip,fire_label
2612.0,89.99946,210.29169,7.9465180574446475,0.3140636133774995,26.598155460129284,1
2168.0,89.99867,277.79208,11.19306237702795,0.6688518590766617,7.03376455714038,1
2133.0,89.99891,28.76765,9.500357069797765,0.6927216893476889,26.79308726551488,0
550.0,89.996445,215.90973,16.113677197542618,0.7780921606615022,16.317268874759755,0
3235.0,89.9995,180.22827,9.270757181885148,0.29124132361720134,34.083674186077936,1
1869.0,89.99966,216.58919,17.537441243182627,0.3230975947579673,74.32704211681951,1
2094.0,89.9994,270.0,16.296308752555305,0.3749351434203553,75.13756939950323,1
2224.0,89.999405,89.20058,17.70591838550157,0.5242528015350224,31.509034343584183,1
213.0,89.96817,180.0,28.96657184812016,0.579704075155843,526.022937500414,1
205.0,89.99316,323.74615,30.02842414672355,0.3654021309085956,243.54606085246255,1
206.0,89.97749,225.0,29.850128139734785,0.366001850204852,244.32296059972043,1
199.0,89.98576,243.43495,30.27030712713065,0.3616413907763606,249.3934607347674,1
198.0,89.96817,0.0,28.886268981222123,0.4393704388446713,248.79046409876122,1
